小区,纬度,经度
瑞浦嘉苑(西区),31.092808,121.59289
桃园新城中虹佳园(西区),31.101093,121.590636
申云小区,31.179974,121.756397
丝庐雅苑(公寓),31.039123,121.661494
丝庐雅苑(别墅),31.040591,121.663346
曙光路25弄小区,31.198898,121.715514
潍坊七村,31.229342,121.528764
通联苑(二期),31.25709,121.572326
通宇加东花园,31.18485,121.559007
中洲里程,31.038009,121.643126
新川路742弄小区,31.197215,121.698351
中芯花园(西区公寓),31.222826,121.625082
益达公寓,31.240274,121.567802
新德路365弄小区,31.203638,121.704139
悉尼星光,31.210795,121.525297
新川路209弄小区,31.200711,121.711972
怡东花园(公寓),31.209196,121.532901
中星巨野公寓,31.245699,121.551384
润和苑(别墅),31.119494,121.274127
仁恒森兰雅苑(一期公寓),31.305043,121.597257
卓越商务中心,30.917741,121.496609
阳光城MODO,31.219795,121.663388
盛大天地青春里,31.179022,121.609861
南郊一品,30.930881,121.498621
珠江悦公馆,31.157123,121.238873
悦达南郊华都,30.979193,121.475364
政熙路68弄小区,31.295411,121.513637
扬州路公房,31.263153,121.533294
"永宁街48,56,66号小区",31.221237,121.495412
营口路788弄小区,31.303304,121.539592
平凉路公房,31.272792,121.54736
清真路69-77号小区,31.205342,121.46542
牡丹路186弄小区,31.212206,121.552723
开鲁路公房,31.33105,121.54205
莲园路396号小区,31.191506,121.562074
海洲路公房,31.274564,121.554907
"昌平路427,433,439号",31.242164,121.453242
隆昌路718弄小区,31.289697,121.543508
大华锦绣华城十七街区(别墅),31.182629,121.539825
大华锦绣华城十六街区(别墅),31.182446,121.537399
大华锦绣华城十八街区(别墅),31.18322,121.542329
嘉业海悦(别墅),30.829091,121.53999
景河苑(别墅),30.941248,121.465341
航星二村,30.938648,121.471216
聚贤煌都(别墅),30.948232,121.473193
百合苑(别墅),30.945383,121.474851
澳洲国际(别墅),30.990361,121.434339
象屿鼎城(别墅),31.192057,121.691721
恒盛湖畔豪庭(南区别墅),30.933982,121.497214
铂悦滨江(别墅),31.248386,121.559849
上院(北区别墅),30.945682,121.458311
合生时代锦苑(合生前滩1号别墅),31.157186,121.495811
绿地香溢(别墅),30.86104,121.579177
环球翡翠湾花园(别墅),31.159936,121.539989
LACALA阳光海岸(别墅),30.826969,121.5224
浦发博园(别墅),31.157138,121.541181
涵合园(别墅),31.205486,121.537516
绿城玉兰公馆(别墅),31.215614,121.655157
张江汤臣豪园(别墅),31.20602,121.594363
天和湖滨家园(别墅),31.185479,121.760224
宣桥枫庭,31.054452,121.722582
证大家园(别墅),31.286919,121.607386
乾景雅园(别墅),31.192454,121.554019
佳源梦想广场,30.855877,121.519483
中园大楼,31.052391,121.761668
顺驰蓝湾(一期公寓),31.166079,121.146503
陆家嘴锦绣里,31.184599,121.555355
施镇公寓,31.155677,121.762841
浦发罗兰翡丽,31.232574,121.67999
中邦城市园,31.143104,121.577376
爱家华城(东区),31.116767,121.713997
盘古天地(西区),31.344703,121.251868
临港首府(别墅),30.905314,121.910876
桐南美麓(别墅),30.961011,121.495879
保利铃兰公馆(别墅),30.924871,121.926497
旭辉江湾墅(别墅),31.320427,121.505724
祥生御江湾(别墅),31.337481,121.504187
益康大厦,31.287582,121.54769
飘鹰锦和花园(西区公寓),31.37185,121.432339
保集澜湾(别墅),31.245026,121.682282
宝虹水岸景苑(东区),31.377486,121.441038
绿地无双(别墅),30.943702,121.501782
绿地东岸涟城(别墅),30.887695,121.924773
顺驰蓝湾(一期别墅),31.16553,121.148039
南郊庄园(别墅),30.931226,121.486442
浦江丽都(南区),31.057892,121.54287
上海星河湾(二期),31.095874,121.41468
紫迪兰庭(南区),30.80455,121.305406
紫迪兰庭(西区),30.804963,121.301761
云锦东方(二期),31.170371,121.460526
莎海苑,31.053809,121.775465
金桥酒店公寓,31.250205,121.595128
汇福家园兴盛里(南区),31.102131,121.613409
金东名苑(西区),31.262929,121.593667
金桥新城(一期),31.268767,121.614903
万科海上传奇(三期),31.164464,121.573443
锦绣满堂花园(北区),31.212067,121.546681
凯佳公寓(二期),31.18203,121.70597
高行银杏苑(北区),31.29632,121.61523
日月光水岸新郡,31.217825,121.630749
高行家园(东区),31.300382,121.620488
创新佳苑(西区),31.212108,121.668714
光鸿苑,31.206088,121.522573
鹤沙航城汇仁馨苑,31.080893,121.617714
汤臣高尔夫(别墅),31.2306,121.588529
大唐国际公寓,31.213044,121.566612
洪园新村,31.034243,121.649881
鹤沙航城航武嘉园(西区),31.081168,121.602474
东江新苑,31.370475,121.551716
碧云左岸二期,31.293335,121.629631
翔川家园(北区),31.190843,121.702203
同方锦城(一期),31.270213,121.592587
兴东佳苑(二期),31.062544,121.764336
安阁苑(南区),31.093694,121.59742
同润金色橘苑,30.965135,121.814724
东方华璟园,30.933112,121.588513
运河北路1296弄小区,30.928573,121.45987
肖塘雅苑,30.969595,121.450723
中粮南桥半岛(东区),30.926344,121.492722
正阳世纪星城莱茵之恋,30.916228,121.481115
南奉公路3015弄小区,30.930591,121.586517
招商海廷(五期),30.834933,121.525729
东方城市豪庭,31.054351,121.772165
汇福家园泰顺里,31.099819,121.607999
复地爱伦坡(三期),31.128854,121.351652
万科翡翠滨江(二期),31.254064,121.548222
张江三湘海尚,31.176666,121.629317
汇福家园德贤里,31.096951,121.610631
汇福家园泰丰里,31.096626,121.607721
汇福家园泰和里,31.100136,121.6072
鹤沙航城东茗苑(西区),31.080471,121.60619
世茂佘山庄园(二期),31.106496,121.204444
本溪路149弄,31.28167,121.522831
泰宝华庭(别墅),31.336317,121.502714
东原郦湾,30.948536,121.526093
浦三锦苑,31.186301,121.525906
翔融苑,31.248506,121.681248
碧桂园浦东星作(别墅),30.913198,121.811767
保利铃兰公馆(公寓),30.925421,121.924161
碧桂园浦东星作(公寓),30.913132,121.811749
顺驰蓝湾(二期别墅),31.16452,121.148478
泰顺佳苑,30.982608,121.56781
大唐花苑五星公寓小区,31.25849,121.014653
BOVO商墅,31.309145,121.131984
白鹭名邸,31.430211,120.930947
爱华园小区,31.372025,120.996036
板桥弄小区,31.389672,120.96828
百灵公寓,31.30946,121.02738
北门路36弄小区,31.402017,120.958568
北栅湾小区,31.392791,120.967158
北岸春天,31.502124,120.912078
北城新境,31.454996,120.955218
二0九弄,31.404977,120.960016
北门三村,31.407311,120.957575
北栅湾东村,31.392824,120.968693
并蒂莲,31.381464,120.863441
碧景苑一期,31.380296,120.997658
碧景苑二期,31.379363,120.997536
宾唏苑,31.395402,120.969201
泊仕公寓,31.395418,120.99051
茶风新村,31.293788,120.959175
茶风商苑,31.291813,120.956712
陈巷花园,31.31259,121.04069
晨曦南园,31.39229,121.047887
城北雅苑,31.409924,120.958932
城市之光锦荣苑,31.41549,120.954741
创业居乐家园,31.427439,121.002842
淀山河滨花园,31.187976,121.039197
大渔新村,31.421423,120.919956
淀湖锦苑,31.18286,121.043043
昆山开发区企业科技园人才公寓,31.39801,121.058312
淀山湖上海岛庄园,31.155139,120.94596
大唐之家,31.254613,121.011382
大唐花苑北区,31.257747,121.013921
华悦公寓,31.264339,121.028455
翠里盛宝利花园,31.394264,120.892587
纯高联邦国际,31.346322,120.935008
东辉铂领花园,31.407783,120.990942
东需浦小区,31.374513,120.971954
丰华园北区,31.391892,121.007639
浣花新村,31.384537,121.082123
都市现代城,31.402656,120.986068
风光无限,31.379277,120.965784
丰华园南区,31.391223,121.007571
凤栖园南区,31.508611,120.95436
福兴庄园,31.185359,121.047345
富华东村,31.361918,121.004787
福运庄园二期,31.182888,121.042783
富士康花园新村,31.409948,120.948424
富贵景园,31.121503,120.858824
富华二村,31.362388,121.005134
富隆花园居住区,31.304269,121.081951
富裕新村,31.380203,120.964742
港甫花苑,31.28118,120.889456
和兴东城花苑,31.387383,121.039705
共青新村A区,31.386367,120.925751
公桥新村,31.296034,121.137025
共青新村B区,31.385219,120.921128
广福锦园,31.418511,120.941617
海鹏新村,31.463412,121.00263
国基城邦逸墅,31.292164,121.087732
国四新村,31.276727,121.00721
皓康小时代,31.436819,120.961811
好易家小区,31.41668,120.951123
合丰新村,31.341826,121.007141
好旺角,31.323106,121.047727
合兴西路169号大院,31.377028,120.956839
恒源广场,31.292228,120.95238
农房恒海国际花园,31.171097,121.022181
红峰二村一区,31.38948,120.951995
横泾别墅,31.405979,120.99948
湖光里小区,31.250298,120.958835
昆山商厦领里广场住宅,31.380301,121.009001
花家浜,31.306073,121.082368
环北路2弄小区,31.394347,120.961052
华君苑生活区,31.380011,121.009517
华尔兹花苑,31.370639,120.995744
汇智阳澄华庭,31.47767,120.845087
惠园别墅,31.40397,120.968914
机关住宅楼,31.305371,121.095993
佳茂缘小区,31.349136,121.02023
嘉景庭,31.30807,121.144576
嘉和苑一期,31.426288,120.954531
嘉裕广场,31.404928,120.991276
江南春堤三期,31.323659,120.96681
金茂云庭,31.367186,120.984063
金侨别墅,31.426589,120.95491
临湖景苑,31.465937,120.889708
锦江花园二期,31.185665,120.898444
明鑫凯迪城,31.385595,120.939931
锦江花园一期,31.18672,120.898178
锦溪花园大东厂园,31.18978,120.910211
金鹰国际公馆,31.38143,120.981641
菊园一村,31.400294,120.965831
景秀丽都,31.365465,120.98645
菊园三村,31.401664,120.968355
菁华时代彩慧苑,31.282342,120.946421
瑾润九仰周庄,31.124636,120.853942
菊园二村,31.401655,120.96636
九方城,31.412134,120.965643
景轩,31.393138,120.936124
君临天下花园,31.412776,120.991011
橘色生香,31.40013,120.997866
九方城天玺,31.412127,120.967595
昆山亿丰机电城小区,31.361461,121.007273
昆城中欣广场,31.388004,120.952017
昆山旺角新天地,31.401507,121.04379
昆山柏盛园,31.371522,120.971974
兰园一村,31.402772,120.967306
蓝色佳苑,31.41757,120.965867
里厍二村南区,31.391664,120.96521
昆玉九里山庄,31.396881,120.945631
兰园二村,31.402729,120.966118
蓝岸晶舍御墅临峰,31.401491,120.942071
里厍新村,31.390258,120.964859
两岸新都心舒活城,31.323522,121.066305
龙亭桥小区,31.385254,120.970393
绿岛花园城市绿洲,31.40252,120.938745
领峰国际,31.299197,121.13186
蓬曦园B区,31.378161,121.088982
龙之天地,31.455081,120.97561
隆祺丽景国际,31.388808,121.019247
龙邑小区,31.345165,121.008649
绿城玫瑰园昆山市,31.442726,120.850477
绿地理想家园,31.291125,121.0845
绿洲山语西区,31.402589,120.948478
绿洲山语东区,31.399702,120.950854
梦莱茵湖滨别墅,31.150675,121.024659
美陆佳园枫苑,31.465372,120.954551
梅苑里,31.314177,121.099166
美华西村,31.383121,121.010797
美陆佳园桂苑,31.464487,120.952135
美华东村,31.381885,121.015762
美陆佳园桦苑,31.463237,120.951816
美陆佳园兰苑,31.464634,120.946389
米筛巷花园,31.299001,121.152207
茗景苑C区,31.352488,120.909638
美陆佳园梅苑,31.461874,120.937087
名湖花园别墅,31.320613,121.061144
茗景苑A区,31.34968,120.913487
名湖花苑,31.319357,121.060375
年丰新村,31.45024,120.884074
蓬曦园C区,31.370338,121.091989
蓬莱家园,31.382123,121.098217
青阳宝岛花园二期,31.392013,120.99618
品院,31.397125,120.883641
鹏轩,31.35577,120.955459
青年之家A区,31.429031,120.96285
千灯逸墅,31.270474,120.997792
千乐新村,31.271817,121.011743
钱隆汇,31.277113,121.000537
中楠双水湾花园,31.399586,120.996377
秦峰花园一村,31.276787,121.01419
青阳宝岛花园(别墅),31.392108,120.999821
沁丰园,31.416599,120.959468
融城汇园,31.440459,120.969748
青春雅居二期,31.343113,121.001552
青阳宝岛花园,31.393168,121.000104
上郡花园(别墅),31.272436,120.997367
人民南路72号小区,31.376954,120.964221
秋泉家园,31.264933,121.060031
清水依瓦诺,31.200083,120.982636
尚林花苑,31.410082,120.934402
人民南路38号小区,31.374525,120.964173
人民路65号小区,31.386235,120.963495
人民南路87号小区,31.377813,120.964828
上澄花园,31.389721,120.894577
三水萧林,31.415272,120.928032
山水森林景轩花苑,31.393306,120.936495
森隆满园,31.293709,120.935652
时代御湾,31.194961,120.973144
圣雅园,31.427199,120.98613
晟泰农民新村,31.18953,121.026803
新苑花园一期,31.400983,120.990844
时代中央花园,31.388132,120.909495
盛荣花园公寓楼,31.417589,120.966495
石墩新村,31.187381,121.03133
石幢弄小区,31.385446,120.961193
世贸东外滩,31.377404,121.062374
舒院,31.240451,120.959384
双洋湖水秀庭院,31.250267,120.958657
水乡明珠庄园,31.130765,120.867441
水都美墅,31.133969,120.84653
团结北村朝阳公寓,31.379032,120.959892
湖畔水韵,31.465132,120.897627
淞南社区,31.251769,121.013789
台昆国际商墅,31.310119,121.071109
苏州盛邦,31.377702,120.867883
泗泾湾家园,31.302319,121.148011
泰和双子座,31.387432,120.927863
天润周庄,31.124906,120.874302
西需浦新村,31.374974,120.96935
天地美墅,31.403302,120.986813
天阔小区,31.424175,120.955983
通澄花园东区,31.391459,120.891689
同心密友新村,31.403087,120.972998
通澄花园,31.393526,120.888877
通澄花园西区,31.392335,120.888989
文豪花园,31.454835,120.856298
万方江南森林别墅,31.395838,120.908572
万丰苑小区,31.369583,120.922097
望族商城小区,31.404092,120.989095
新吴公寓,31.291885,120.95627
夏驾园荣苑,31.404641,121.056651
新舟公寓,31.121878,120.859124
斜泾新村,31.409712,120.921154
新苑花园二期,31.402185,120.990436
馨座佳园,31.408255,120.994833
新阳新村,31.384806,120.970913
新华舍小区,31.413804,120.925875
欣馨园,31.391886,120.93655
兴浦佳园,31.263957,121.060307
心泊兰花苑,31.282277,120.930372
阳光都城,31.25684,121.05316
绣衣园,31.38998,120.979398
阳澄湖世纪花苑,31.463709,120.857926
炎武社区良景园,31.256438,121.01912
烟雨新村,31.458727,120.884738
徐公桥人才公寓,31.300796,121.133842
一泓蓝溪湖墅,31.174326,120.924316
阳光鑫品,31.415927,120.973957
忆江南花园,31.270106,121.000635
银杏苑(南区),31.376479,120.861143
赢座,31.286278,120.950826
佑林印象高迪,31.258552,121.024741
玉山宝岛丽园,31.406073,120.976531
玉湖新城花园,31.394134,120.864965
玉源国际公馆,31.300997,121.147208
远东世纪园,31.404117,121.003008
福侬庄园(南区),31.183244,121.050347
云庭花园,31.367716,120.984474
云鼎观止,31.449451,120.853142
月盛公寓,31.408539,120.96892
樾城小区,31.394065,120.988502
云谷周庄(别墅),31.154685,120.868652
早安青城,31.408403,120.965813
蓬欣社区栈泾兰苑,31.38065,121.106333
中大简界,31.394371,121.006852
永恒盛东大街小区,31.363671,121.087488
中城虹梅苑,31.306755,121.136412
中科高科技基地公寓楼,31.137361,120.868515
中乐新村,31.413162,121.007569
中宅新村,31.271032,121.01012
中欣大厦,31.444992,120.954263
金鹰江韵名苑,31.380736,120.977909
察院前西区,31.388305,120.966217
果岭上的日子(别墅),31.3888,120.889574
周庄万博汇小区,31.127796,120.851458
石浦新村,31.2637,121.059607
贵族建材市场,31.405553,120.988764
东晶国际花园(别墅),31.377035,121.047493
观林壹品,31.406733,120.911112
银宏新邨,31.185853,120.908661
尚千灯,31.257609,121.019525
观林壹品(别墅),31.406569,120.910173
方正名门,31.426516,120.958196
龙辰院子,31.393911,120.900699
万弘别墅,31.354673,121.045818
新城家园(合兴路),31.370805,120.982243
恒丰时代广场,31.263438,121.01628
源水美墅,31.271035,121.018589
新乐锦园,31.437993,120.968235
溪屿墅,31.296817,121.084376
溪屿墅(别墅),31.294683,121.085815
司徒街下塘6号,31.382445,120.968746
现代农艺小区,31.286678,120.951561
江南境秀,31.408305,120.910634
日月光翠湖湾花园(别墅),31.247104,121.036302
花桥商环境,31.289311,121.054472
栈泾竹苑,31.38726,121.103988
渔业村,31.508171,120.912973
宝成铂金国际大厦,31.421708,120.984141
御城大公馆,31.38984,121.001173
通澄花园四期,31.38889,120.889314
星海花园(南苑),31.388823,120.945518
竹园一村,31.400114,120.965333
昆山怡馨苑(北区),31.389976,120.961359
星海花园(南苑别墅),31.388343,120.943899
樾城花园北区,31.395097,120.988265
国润溪香米兰(别墅),31.429226,120.986532
天际云墅,31.403283,121.038095
竹园二村,31.401498,120.963907
花都艺墅(别墅),31.42115,120.988796
红峰新村南区,31.388393,120.957124
长顺城际英伦,31.384649,120.867772
大成莲创,31.345863,120.954668
惠腾商务大厦,31.447449,120.984646
壹山赋,31.405919,121.042013
老街新天地别墅,31.462154,120.883763
木瓜小区,31.311666,121.060404
龙辰院子(别墅),31.393586,120.899476
宏基财富广场,31.390215,121.014651
淀兴小区,31.189026,121.03496
甲克虫公寓,31.387431,120.913218
青阳宝岛花园二期(别墅),31.392945,120.996144
东湖绿苑,31.181477,121.034097
果老弄小区,31.385375,120.966352
东湖绿苑(别墅),31.181894,121.032736
淀辉新村,31.183338,121.029832
二零二弄,31.380912,120.960517
新港湾(别墅),31.408142,120.973194
卿峰丽景(别墅),31.277931,121.001714
品院(别墅),31.398771,120.884856
观邸小区,31.39315,121.004752
阳光水世界(别墅),31.383757,121.048999
鑫苑世家(别墅),31.295022,121.086408
凯悦花园(别墅),31.391808,120.990416
左岸尚海湾(别墅),31.382276,121.039819
和风雅颂(别墅),31.408047,120.91523
碧水佳园南区,31.449765,120.888927
汇智阳澄华庭(别墅),31.477717,120.844591
福侬庄园(南区别墅),31.183891,121.049577
星海花园(别墅),31.390403,120.943334
华强阳光都城花园中区,31.258606,121.055144
三水萧林(别墅),31.414201,120.92867
绿地21城D区(别墅),31.29351,121.108742
绿洲山语西区(别墅),31.402046,120.947714
察院前东区,31.388223,120.966755
绿地21城B区(别墅),31.288668,121.116217
琨城帝景园(别墅),31.457997,120.988914
东创悦公馆,31.393719,121.063234
金瑭珑沐湾(别墅),31.461636,120.975508
苏凯公寓,31.37984,121.018359
大市花苑,31.234068,120.949237
豪门世家(别墅),31.408752,120.950447
同城浦江中心,31.29721,121.126529
东方假日城(别墅),31.323796,121.044072
昆城国贸,31.369066,120.961141
博富科技大厦,31.300953,121.129738
茂月居,31.139226,120.847739
北大资源理城(别墅),31.443442,120.90736
常发香城湾(别墅),31.298917,121.09119
龙邑小区(别墅),31.345512,121.009237
风景英伦(别墅),31.409382,120.924692
合生国际花园(别墅),31.466339,120.994772
福兴庄园(别墅),31.184772,121.046689
国基城邦逸墅(别墅),31.291084,121.087427
合生颐廷(别墅),31.465726,120.993656
虹桥花园(别墅),31.390985,120.945069
金色森林(别墅),31.396551,120.904469
花溪公馆(别墅),31.301162,121.097242
华城美地(别墅),31.466884,120.969899
景阳新村(别墅),31.395788,120.963115
嘉宝梦之城(别墅),31.302552,121.069335
江南春堤一期(别墅),31.318211,120.965273
天成丽景(别墅),31.504383,120.915407
盛世明珠园(别墅),31.132695,120.846149
金湖银滩(别墅),31.481214,120.872619
绿地21城A区(别墅),31.292537,121.114084
农房英伦尊邸(别墅),31.298309,120.949759
张浦裕花园(别墅),31.28516,120.933195
绿地21城C区(别墅),31.292212,121.120594
清风华院(别墅),31.403944,120.902968
建伟新世界,31.360985,121.013511
顺城锦湖湾(别墅),31.179255,120.915607
森隆蓝波湾(别墅),31.286856,120.943741
云谷雅苑(别墅),31.274667,121.019009
亭林山庄(别墅),31.391241,120.950796
通澄美墅(别墅),31.392187,120.896073
杨巷新村,31.317032,120.962479
棕榈泉山庄(别墅),31.386296,120.956388
世茂蝶湖湾(别墅),31.345991,120.968956
锦博佳园,31.188221,120.918469
干将西路小区,31.310951,120.610858
沧浪亭街5号院,31.299905,120.634315
苏医新村一区,31.299815,120.635457
金科王府别墅区,31.316878,120.566678
馨梅苑,31.287887,120.562842
狮山当代MOMA,31.283342,120.538871
幸福未来花园(别墅),31.350259,120.430017
伟业优橙家,31.210945,120.661447
塘南新村南区,31.273235,120.680389
东苑路115号小区,31.279651,120.636466
新盛泽人公寓,30.883391,120.665554
越湖名邸别墅,31.243297,120.62957
国泰新村西区,31.25881,120.692237
国泰一村,31.259145,120.688594
华润金悦湾(别墅),31.275891,120.68552
万科湖西玲珑(别墅),31.271742,120.68547
宝带花园,31.253513,120.67539
东吴北路142弄,31.28144,120.635202
溪东新村二区,31.216517,120.606973
城西新村宝带花苑,31.273919,120.622846
东吴北路131号小区,31.279059,120.633486
东吴北路129号小区,31.278824,120.632712
第三大街住宅,31.261245,120.641257
东苑路64号院,31.27714,120.637698
城南集宿楼,31.229725,120.633646
广枫苑,31.255373,120.641816
干警住宅区,31.274619,120.624947
都荟名苑,31.266863,120.625077
冯家村60号小区,31.329382,120.651666
公交一村,31.260906,120.643836
水岸清华翰宫,31.232781,120.614364
桂苑二区,31.250394,120.641265
海星生活广场,31.260977,120.638585
红蓼花园,31.250676,120.620813
嘉宝花园都林苑,31.271137,120.644934
嘉盛丽星公馆,31.252538,120.622603
金地风华,31.274393,120.640336
建安別院,31.260742,120.649299
太湖东路212号小区,31.268585,120.644172
中山村小区,31.260788,120.530654
龙西路285号小区,31.276733,120.623638
诚河新旅城四区,31.273296,120.562284
水香街268号小区,31.277907,120.627717
龙港村,31.275492,120.632592
龙港一村,31.275873,120.632144
龙西新村箭阙苑,31.281348,120.626894
水香街237号小区,31.277057,120.627263
龙西新村莫厘苑,31.280031,120.624223
龙苑村北区,31.275861,120.624822
罗盛里花园,31.257495,120.638047
龙苑村南区,31.275439,120.625458
龙苑新村北区,31.276216,120.62497
南石湖新村,31.232738,120.621046
盘蠡苑小区,31.274789,120.619878
水香公寓,31.2737,120.62825
西塘北巷3号小区,31.281459,120.632055
南湖之韵,31.237313,120.638
